Net Status Report
Filename     : E:\SM2200-PCB2\Board.PcbDoc
Date         : 2015/12/6
Time         : 10:00:54
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetR38_2, Signal Layers Only, 1717.619mils
    NetR40_2, Signal Layers Only, 1051.076mils
    NetR44_1, Signal Layers Only, 1510.377mils
    NetR48_1, Signal Layers Only, 862.25mils
    NetR57_2, Signal Layers Only, 1181.808mils
    NetR62_1, Signal Layers Only, 1657.885mils
    NetR65_1, Signal Layers Only, 893.471mils
    NetR76_2, Signal Layers Only, 1023.446mils
    NetR9_1, Signal Layers Only, 710.054mils
    NetU7_4, Signal Layers Only, 2214.85mils
    NetU7_5, Signal Layers Only, 1825.873mils
    OSC_IN, Signal Layers Only, 461.491mils
    OSC_OUT, Signal Layers Only, 435.107mils
    PWDN1, Signal Layers Only, 1606.796mils
    PWDN2, Signal Layers Only, 1156.178mils
    RESET1, Signal Layers Only, 1332.448mils
    RESET2, Signal Layers Only, 1258.846mils
    RS232_RX, Signal Layers Only, 3856.826mils
    RS232_TX, Signal Layers Only, 3607.715mils
    RS485_N, Signal Layers Only, 2835.316mils
    RS485_P, Signal Layers Only, 3032.849mils
    RST1, Signal Layers Only, 1256.679mils
    RSV1, Signal Layers Only, 986.493mils
    RSV2, Signal Layers Only, 887.922mils
    RX1_N, Signal Layers Only, 576.101mils
    RX1_P, Signal Layers Only, 695.386mils
    RX2_N, Signal Layers Only, 423.821mils
    RX2_P, Signal Layers Only, 583.217mils
    RX_LED, Signal Layers Only, 1978.071mils
    SCLK1, Signal Layers Only, 1336.305mils
    SCLK2, Signal Layers Only, 1126.277mils
    SCS1, Signal Layers Only, 1335.105mils
    SCS2, Signal Layers Only, 1114.868mils
    SHDN, Signal Layers Only, 677.682mils
    SIGNAL, Signal Layers Only, 705.354mils
    SPD1, Signal Layers Only, 612.839mils
    SPD2, Signal Layers Only, 783.765mils
    SPI3_CLK, Signal Layers Only, 2985.27mils
    SPI3_MISO, Signal Layers Only, 2917.765mils
    SPI3_MOSI, Signal Layers Only, 2984.6mils
    SPI3_NSS, Signal Layers Only, 2835.85mils
    TCK, Signal Layers Only, 861.438mils
    TDI, Signal Layers Only, 989.952mils
    TDO, Signal Layers Only, 1145.208mils
    TMS, Signal Layers Only, 1327.698mils
    TX1_N, Signal Layers Only, 436.795mils
    TX1_P, Signal Layers Only, 515.134mils
    TX2_N, Signal Layers Only, 479.195mils
    TX2_P, Signal Layers Only, 588.663mils
    TX_EN, Signal Layers Only, 2085.151mils
    TX_LED, Signal Layers Only, 1785.732mils
    VCC, Signal Layers Only, 4593.439mils
    VCC-3.3, Signal Layers Only, 1404.915mils
    VCC15, Signal Layers Only, 13155.026mils
    VCC5, Signal Layers Only, 3235.833mils
    VDD, Signal Layers Only, 743.108mils
    VDD-3.3, Signal Layers Only, 8725.066mils
    VDD2.5, Signal Layers Only, 3780.819mils
    VDD3.3, Signal Layers Only, 16368.641mils
    VDD5, Signal Layers Only, 4030.507mils
    VDD_CORE, Signal Layers Only, 1118.095mils
    XI1, Signal Layers Only, 399.954mils
    XI2, Signal Layers Only, 593.257mils
    XIN, Signal Layers Only, 775.898mils
    XO1, Signal Layers Only, 368.712mils
    XO2, Signal Layers Only, 474.292mils
    XOUT, Signal Layers Only, 584.78mils
    XTALVDD1, Signal Layers Only, 719.946mils
    XTALVDD2, Signal Layers Only, 786.634mils
count : 199
